weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,ECDC-norrsken_blue,inc case,1,Overall,NA,1.13,0.73,0.69,0.64,0.97,0.24,343,23
52,ECDC-norrsken_green,inc case,1,Overall,NA,1.3,0.89,0.84,0.26,0.66,0.31,343,23
52,EuroCOVIDhub-baseline,inc case,1,Overall,NA,1,1,1,0.78,1,0.13,552,23
52,EuroCOVIDhub-ensemble,inc case,1,Overall,NA,0.97,0.62,0.62,0.66,0.96,0.19,428,23
52,Lydia-SARIMA,inc case,1,Overall,NA,2.09,2.34,2.41,0.98,1,0.08,471,23
52,epiforecasts-tsensemble,inc case,1,Overall,NA,1.06,0.7,0.77,0.62,0.87,0.11,384,23
52,ECDC-norrsken_blue,inc case,2,Overall,NA,1.21,0.69,0.63,0.65,0.97,0.28,343,23
52,ECDC-norrsken_green,inc case,2,Overall,NA,1.4,0.81,0.76,0.25,0.69,0.29,343,23
52,EuroCOVIDhub-baseline,inc case,2,Overall,NA,1,1,1,0.88,1,0.09,552,23
52,EuroCOVIDhub-ensemble,inc case,2,Overall,NA,0.99,0.55,0.57,0.68,0.95,0.17,428,23
52,Lydia-SARIMA,inc case,2,Overall,NA,2.48,2.29,2.42,0.99,1,0.09,471,23
52,epiforecasts-tsensemble,inc case,2,Overall,NA,1.08,0.6,0.65,0.57,0.85,0.07,383,23
52,ECDC-norrsken_blue,inc case,3,Overall,NA,1.32,0.68,0.63,0.63,0.97,0.34,343,23
52,ECDC-norrsken_green,inc case,3,Overall,NA,1.54,0.79,0.74,0.26,0.69,0.3,343,23
52,EuroCOVIDhub-baseline,inc case,3,Overall,NA,1,1,1,0.92,1,0.08,552,23
52,EuroCOVIDhub-ensemble,inc case,3,Overall,NA,1.05,0.52,0.54,0.69,0.95,0.19,429,23
52,Lydia-SARIMA,inc case,3,Overall,NA,2.78,2.18,2.35,0.99,1,0.11,471,23
